,119,,Building Break Down,Rack Turn-Down,Rack Turn-Up,Total Racks Per Building,,,,,,,,,,,,,,,,,,,,,,
Racks In Position,63,,ATN1,3,2,5,,,Color Guide,,,,,,,,,,,,,,,,,,,
Racks Pending Position,51,,ATN2,8,0,8,,,ISSUE,,,,,,,,,,,,,,,,,,,
SLC Completed,46,,ATN3,64,0,64,,,HIGH-PRI ,,,,,,,,,,,,,,,,,,,
Racks Pending L2+ Audit Completion,54,,ATN4,0,0,0,,,Good/Completed,,,,,,,,,,,,,,,,,,,
Work % Complete,45.40%,,ATN5,2,10,12,,,,,,,,,,,,,,,,,,,,,,
,,,ATN6,42,2,44,,,,,,,,,,,,,,,,,,,,,,
,,,ATN7,0,97,97,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Team #,Set or Decom ,Type of Move,Rack SN,From Data Center,Rack Source Location,V ,To Data Center,Rack Final Destination,QR Code for Destination,Un-set / Un-Level / Recontain Complete (DECOM),In Position (Rack Delivered to Final Position (IBOS),SLC (SET),L2+ Audit Complete (IBOS),Notes,Issue Tracker,,Time Stamp,,,,,,,,,,,
Commonwealth,Decom and Set,Rack Move,50187397,ATN3,ATN3.3D.07B.12,,ATN7,ATN7.7A.10.39,,TRUE,TRUE,TRUE,TRUE,"Decom, IBOS Move, Set",,2ND RACK MOVE S ON 2/18,,,,,,,,,,,,
Commonwealth,Decom and Set,Rack Move,50187351,ATN3,ATN3.3D.29F.08,,ATN7,ATN7.7A.10.36,,TRUE,TRUE,TRUE,TRUE,"Decom, IBOS Move, Set",,2ND RACK MOVE S ON 2/18,,,,,,,,,,,,
Commonwealth,Decom and Set,Rack Move,50132037,ATN3,ATN3.3C.24F.17,,ATN7,ATN7.7A.27.07,,TRUE,TRUE,TRUE,TRUE,"Decom, IBOS Move, Set",,2ND RACK MOVE S ON 2/18,,,,,,,,,,,,
Commonwealth,Decom and Set,Rack Move,50292440,ATN3,ATN3.3C.29B.05,,ATN7,ATN7.7A.28.37,,TRUE,TRUE,TRUE,TRUE,"Decom, IBOS Move, Set",,2ND RACK MOVE S ON 2/18,,,,,,,,,,,,
Commonwealth,Decom and Set,Rack Move,50121361,ATN3,ATN3.3D.17B.12,,ATN7,ATN7.7A.07.37,,TRUE,TRUE,TRUE,TRUE,"Decom, IBOS Move, Set",,2ND RACK MOVE S ON 2/18,,,,,,,,,,,,
Commonwealth,Decom and Set,Rack Move,50121411,ATN3,ATN3.3D.17F.03,,ATN7,ATN7.7A.07.03,,TRUE,TRUE,TRUE,TRUE,"Decom, IBOS Move, Set",,2ND RACK MOVE S ON 2/18,,,,,,,,,,,,
Commonwealth,Decom and Set,Rack Move,50323924,ATN3,ATN3.3D.26F.17,,ATN7,ATN7.7A.05.36,,TRUE,TRUE,TRUE,TRUE,"Decom, IBOS Move, Set",,2ND RACK MOVE S ON 2/18,,,,,,,,,,,,
Milestone,Decom and Set,Rack Move,50126959,ATN3,ATN3.3A.08F.16,,ATN7,ATN7.7A.23.36,,TRUE,FALSE,FALSE,FALSE,"Decom, IBOS Move, Set",,Unable to move on 2/18 due to aisle being blocked off ,,,,,,,,,,,,
Commonwealth,Decom and Set,Rack Move,50195981,ATN3,ATN3.3A.12F.13,,ATN7,ATN7.7A.58.02,,TRUE,TRUE,FALSE,FALSE,"Decom, IBOS Move, Set",,Moved 2/18,,,,,,,,,,,,
Commonwealth,Decom and Set,Rack Move,50131145,ATN3,ATN3.3A.16B.09,,ATN7,ATN7.7A.27.10,,TRUE,TRUE,FALSE,FALSE,"Decom, IBOS Move, Set",,Moved 2/18,,,,,,,,,,,,
